date,hour,average_speed_kph
2024-08-27,05:00,30.48
2024-08-27,06:00,26.95
2024-08-27,07:00,27.81
2024-08-27,08:00,28.94
2024-08-27,09:00,23.6
2024-08-27,10:00,23.7
2024-08-27,11:00,19.19
2024-08-27,12:00,19.05
2024-08-27,13:00,18.4
2024-08-27,14:00,14.51
2024-08-27,15:00,19.9
2024-08-27,16:00,20.49
2024-08-27,17:00,16.3
2024-08-27,18:00,17.34
2024-08-27,19:00,19.54
2024-08-27,20:00,16.62
2024-08-27,21:00,19.72
2024-08-27,22:00,21.02
2024-08-27,23:00,23.08
2024-08-28,00:00,20.84
2024-08-28,01:00,36.41
2024-08-28,02:00,28.12
2024-08-28,03:00,
2024-08-28,04:00,45.32
2024-08-28,05:00,40.42
2024-08-28,06:00,30.22
2024-08-28,07:00,18.8
2024-08-28,08:00,22.95
2024-08-28,09:00,25.38
2024-08-28,10:00,18.26
2024-08-28,11:00,19.5
2024-08-28,12:00,12.92
2024-08-28,13:00,16.94
2024-08-28,14:00,12.56
2024-08-28,15:00,13.51
2024-08-28,16:00,18.36
2024-08-28,17:00,10.25
2024-08-28,18:00,15.32
2024-08-28,19:00,16.44
2024-08-28,20:00,19.8
2024-08-28,21:00,21.66
2024-08-28,22:00,22.62
2024-08-28,23:00,30.05
2024-08-29,00:00,27.76
2024-08-29,01:00,23.79
2024-08-29,02:00,36.49
2024-08-29,03:00,35.04
2024-08-29,04:00,39.24
2024-08-29,05:00,32.96
2024-08-29,06:00,30.51
2024-08-29,07:00,20.41
2024-08-29,08:00,27.18
2024-08-29,09:00,25.19
2024-08-29,10:00,21.39
2024-08-29,11:00,17.34
2024-08-29,12:00,14.1
2024-08-29,13:00,16.62
2024-08-29,14:00,13.99
2024-08-29,15:00,17.55
2024-08-29,16:00,20.01
2024-08-29,17:00,7.04
2024-08-29,18:00,14.54
2024-08-29,19:00,18.55
2024-08-29,20:00,17.26
2024-08-29,21:00,20.02
2024-08-29,22:00,18.06
2024-08-29,23:00,25.79
2024-08-30,00:00,26.99
2024-08-30,01:00,23.83
2024-08-30,02:00,33.04
2024-08-30,03:00,33.57
2024-08-30,04:00,49.0
2024-08-30,05:00,38.3
2024-08-30,06:00,36.34
2024-08-30,07:00,28.12
2024-08-30,08:00,28.18
2024-08-30,09:00,24.61
2024-08-30,10:00,23.39
2024-08-30,11:00,17.98
2024-08-30,12:00,21.96
2024-08-30,13:00,22.99
2024-08-30,14:00,17.24
2024-08-30,15:00,22.39
2024-08-30,16:00,23.58
2024-08-30,17:00,20.95
2024-08-30,18:00,12.84
2024-08-30,19:00,17.77
2024-08-30,20:00,16.35
2024-08-30,21:00,16.73
2024-08-30,22:00,23.58
2024-08-30,23:00,20.12
2024-08-31,00:00,22.91
2024-08-31,01:00,23.62
2024-08-31,02:00,29.7
2024-08-31,03:00,19.24
2024-08-31,04:00,35.01
2024-08-31,05:00,22.0
2024-08-31,06:00,20.64
2024-08-31,07:00,14.98
2024-08-31,08:00,23.95
2024-08-31,09:00,26.39
2024-08-31,10:00,21.16
2024-08-31,11:00,18.15
2024-08-31,12:00,21.66
2024-08-31,13:00,17.95
2024-08-31,14:00,15.3
2024-08-31,15:00,19.32
2024-08-31,16:00,18.2
2024-08-31,17:00,18.66
2024-08-31,18:00,20.3
2024-08-31,19:00,20.89
2024-08-31,20:00,18.76
2024-08-31,21:00,21.55
2024-08-31,22:00,19.44
2024-08-31,23:00,26.05
