date,hour,average_speed_kph
2024-08-20,00:00,27.45
2024-08-20,01:00,26.45
2024-08-20,02:00,20.9
2024-08-20,03:00,12.13
2024-08-20,04:00,40.5
2024-08-20,05:00,39.5
2024-08-20,06:00,28.85
2024-08-20,07:00,39.3
2024-08-20,08:00,22.18
2024-08-20,09:00,15.85
2024-08-20,10:00,10.33
2024-08-20,11:00,9.83
2024-08-20,12:00,17.6
2024-08-20,13:00,11.12
2024-08-20,14:00,13.2
2024-08-20,15:00,12.47
2024-08-20,16:00,12.95
2024-08-20,17:00,12.93
2024-08-20,18:00,14.82
2024-08-20,19:00,13.66
2024-08-20,20:00,11.3
2024-08-20,21:00,19.12
2024-08-20,22:00,20.35
2024-08-20,23:00,21.9
2024-08-21,00:00,19.26
2024-08-21,01:00,22.4
2024-08-21,02:00,32.75
2024-08-21,03:00,27.55
2024-08-21,04:00,40.2
2024-08-21,05:00,32.75
2024-08-21,06:00,17.25
2024-08-21,07:00,28.35
2024-08-21,08:00,25.3
2024-08-21,09:00,20.83
2024-08-21,10:00,19.54
2024-08-21,11:00,12.27
2024-08-21,12:00,14.98
2024-08-21,13:00,10.08
2024-08-21,14:00,15.54
2024-08-21,15:00,15.13
2024-08-21,16:00,12.38
2024-08-21,17:00,15.35
2024-08-21,18:00,13.14
2024-08-21,19:00,11.58
2024-08-21,20:00,12.12
2024-08-21,21:00,17.55
2024-08-21,22:00,19.84
2024-08-21,23:00,23.45
2024-08-22,00:00,24.35
2024-08-22,01:00,23.72
2024-08-22,02:00,22.23
2024-08-22,03:00,11.9
2024-08-22,04:00,35.1
2024-08-22,05:00,39.5
2024-08-22,06:00,36.8
2024-08-22,07:00,16.55
2024-08-22,08:00,21.25
2024-08-22,09:00,16.07
2024-08-22,10:00,12.56
2024-08-22,11:00,8.2
2024-08-22,12:00,8.65
2024-08-22,13:00,12.22
2024-08-22,14:00,7.67
2024-08-22,15:00,11.86
2024-08-22,16:00,10.03
2024-08-22,17:00,8.4
2024-08-22,18:00,13.8
2024-08-22,19:00,13.86
2024-08-22,20:00,9.65
2024-08-22,21:00,14.7
2024-08-22,22:00,18.5
2024-08-22,23:00,27.95
2024-08-23,00:00,32.27
2024-08-23,01:00,35.43
2024-08-23,02:00,26.96
2024-08-23,03:00,37.65
2024-08-23,04:00,41.7
2024-08-23,05:00,44.6
2024-08-23,06:00,35.55
2024-08-23,07:00,35.9
2024-08-23,08:00,29.55
2024-08-23,09:00,18.96
2024-08-23,10:00,12.84
2024-08-23,11:00,11.64
2024-08-23,12:00,10.24
2024-08-23,13:00,17.6
2024-08-23,14:00,14.0
2024-08-23,15:00,10.17
2024-08-23,16:00,13.82
2024-08-23,17:00,11.15
2024-08-23,18:00,10.66
2024-08-23,19:00,12.38
2024-08-23,20:00,10.78
