segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,9.7,24.0,23.2,599,1,21
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,10.6,22.0,22.9,663,1,22
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,13.0,25.0,24.7,582,1,23
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,17.9,29.0,29.0,316,1,24
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,75.19,60,33.79038,-7.15766,21.6,31.0,32.8,178,1,25
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,32.1,35.0,37.4,131,1,2
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,35.5,39.0,39.8,77,1,3
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,34.7,37.0,39.7,49,1,4
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,33.1,41.0,41.2,22,1,5
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,29.2,36.0,42.0,15,1,6
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,40.1,41.0,42.7,17,1,7
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,34.6,36.0,40.6,25,1,8
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,30.8,39.0,39.5,69,1,9
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,32.1,34.0,34.0,91,1,10
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,27.4,33.0,32.8,163,1,11
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,25.2,33.0,31.4,235,1,12
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,22.6,30.0,29.8,334,1,13
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,17.9,29.0,27.8,406,1,14
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,18.5,31.0,28.8,425,1,15
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,24.4,32.0,31.1,406,1,16
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,25.6,32.0,32.0,412,1,17
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,26.3,33.0,32.6,407,1,18
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,25.0,32.0,31.9,465,1,19
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,19.1,31.0,28.7,573,1,20
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,22.4,31.0,30.5,623,1,21
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,21.2,31.0,29.7,675,1,22
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,83.89,60,33.79075,-7.156766666666667,26.1,33.0,32.1,580,1,23
